"","Date","Open","High","Low","Close","Volume","OI"
"1",2024-06-28 03:45:00,24349.9,24403.85,24349.9,24403.85,450,50
"2",2024-06-28 03:46:00,24399.05,24406.75,24389.7,24400,1250,50
"3",2024-06-28 03:47:00,24400,24410.25,24392,24400,775,50
"4",2024-06-28 03:48:00,24400.6,24405,24400,24405,275,2050
"5",2024-06-28 03:49:00,24407.5,24424.9,24400.6,24424.9,2425,2050
"6",2024-06-28 03:50:00,24421.85,24421.85,24408,24411.3,1050,2050
"7",2024-06-28 03:51:00,24406.05,24406.05,24400,24405,475,5250
"8",2024-06-28 03:52:00,24405.05,24416.65,24400.05,24413.4,1150,5250
"9",2024-06-28 03:53:00,24415,24415.05,24412.75,24412.75,900,5250
"10",2024-06-28 03:54:00,24414.9,24414.9,24413,24413,275,6850
"11",2024-06-28 03:55:00,24412.75,24413,24403,24403,450,6850
"12",2024-06-28 03:56:00,24403,24405,24403,24405,700,6850
"13",2024-06-28 03:57:00,24400,24410,24400,24410,175,7100
"14",2024-06-28 03:58:00,24410,24413,24405.8,24405.8,575,7100
"15",2024-06-28 03:59:00,24410,24415,24410,24415,375,7100
"16",2024-06-28 04:00:00,24416.65,24421,24410,24410,700,8050
"17",2024-06-28 04:01:00,24410,24412,24402.2,24412,750,8050
"18",2024-06-28 04:02:00,24413.85,24420.55,24410.75,24413.6,1275,8050
"19",2024-06-28 04:03:00,24413.65,24414.85,24405.05,24410,925,9250
"20",2024-06-28 04:04:00,24410.05,24413.45,24405.05,24405.05,600,9250
"21",2024-06-28 04:05:00,24406,24406,24400,24405.1,1175,9250
"22",2024-06-28 04:06:00,24403.15,24405.3,24400,24400,1150,10000
"23",2024-06-28 04:07:00,24400.2,24410,24400.2,24410,500,10000
"24",2024-06-28 04:08:00,24406.2,24419,24406.2,24419,525,10000
"25",2024-06-28 04:09:00,24420,24436.95,24420,24430,2300,11150
"26",2024-06-28 04:10:00,24430,24440,24430,24440,750,11150
"27",2024-06-28 04:11:00,24443.95,24461.75,24440,24452.75,3725,11150
"28",2024-06-28 04:12:00,24452.75,24459.8,24452.4,24454.95,1100,15575
"29",2024-06-28 04:13:00,24454.95,24455,24440,24443.7,1100,15575
"30",2024-06-28 04:14:00,24440.05,24449.95,24440.05,24449.85,700,15575
"31",2024-06-28 04:15:00,24448.95,24448.95,24442.65,24445,375,17325
"32",2024-06-28 04:16:00,24444.65,24450,24442.65,24450,925,17325
"33",2024-06-28 04:17:00,24448.6,24450,24448.25,24450,500,17325
"34",2024-06-28 04:18:00,24449,24450,24448,24450,475,18250
"35",2024-06-28 04:19:00,24450,24450,24440.05,24449,900,18250
"36",2024-06-28 04:20:00,24450,24450,24446.15,24450,950,18250
"37",2024-06-28 04:21:00,24449.95,24449.95,24440.75,24445,400,19400
"38",2024-06-28 04:22:00,24445,24451.35,24445,24451.35,625,19400
"39",2024-06-28 04:23:00,24451.8,24459.95,24451.1,24459.75,550,19400
"40",2024-06-28 04:24:00,24457.8,24457.95,24448.6,24448.6,1950,20600
"41",2024-06-28 04:25:00,24450,24450,24449.95,24449.95,250,20600
"42",2024-06-28 04:26:00,24449.95,24453.35,24447.3,24451.55,675,20600
"43",2024-06-28 04:27:00,24457.95,24460,24454.4,24458.45,2700,20500
"44",2024-06-28 04:28:00,24458.45,24458.45,24440.8,24448.95,950,20500
"45",2024-06-28 04:29:00,24448,24459.6,24445.4,24445.4,725,20500
"46",2024-06-28 04:30:00,24440.75,24445.25,24440,24442,1075,22475
"47",2024-06-28 04:31:00,24440,24449.15,24439.9,24449.15,1000,22475
"48",2024-06-28 04:32:00,24446.85,24446.85,24439.6,24439.6,200,22475
"49",2024-06-28 04:33:00,24440.05,24440.05,24434.85,24435.85,450,23800
"50",2024-06-28 04:34:00,24435.85,24435.85,24430,24430,125,23800
"51",2024-06-28 04:35:00,24430,24430,24428.45,24428.45,375,23800
"52",2024-06-28 04:36:00,24432,24434.95,24432,24434.95,125,24200
"53",2024-06-28 04:37:00,24434.95,24434.95,24430,24430,875,24200
"54",2024-06-28 04:38:00,24425,24430,24421,24430,1000,24200
"55",2024-06-28 04:39:00,24430,24430,24430,24430,0,25675
"56",2024-06-28 04:40:00,24429.85,24429.9,24421.6,24429.85,275,25675
"57",2024-06-28 04:41:00,24425,24429.9,24425,24427,425,25675
"58",2024-06-28 04:42:00,24425.95,24425.95,24425.95,24425.95,25,26075
"59",2024-06-28 04:43:00,24429.7,24429.7,24421,24421,350,26075
"60",2024-06-28 04:44:00,24420,24421,24420,24420,150,26075
"61",2024-06-28 04:45:00,24424,24428,24424,24428,350,26100
"62",2024-06-28 04:46:00,24428.8,24428.8,24420,24420,550,26100
"63",2024-06-28 04:47:00,24420,24421,24414.85,24420.25,150,26100
"64",2024-06-28 04:48:00,24420.25,24420.25,24410.5,24415.5,75,26700
"65",2024-06-28 04:49:00,24410,24410,24406,24410,175,26700
"66",2024-06-28 04:50:00,24406,24406,24403,24405,500,26700
"67",2024-06-28 04:51:00,24403,24410,24400,24401.5,650,27175
"68",2024-06-28 04:52:00,24410.6,24415,24410.6,24415,250,27175
"69",2024-06-28 04:53:00,24420.25,24420.25,24420.25,24420.25,25,27175
"70",2024-06-28 04:54:00,24421,24421,24415,24415,325,27575
"71",2024-06-28 04:55:00,24415,24419,24415,24416.45,375,27575
"72",2024-06-28 04:56:00,24416.2,24419,24416.15,24418,350,27575
"73",2024-06-28 04:57:00,24418,24422.3,24418,24422.3,75,28350
"74",2024-06-28 04:58:00,24425,24429,24422.3,24422.3,575,28350
"75",2024-06-28 04:59:00,24425,24425,24425,24425,100,28350
"76",2024-06-28 05:00:00,24429.7,24430,24427.05,24430,175,29100
"77",2024-06-28 05:01:00,24427.4,24443.8,24427.4,24430.35,150,29100
"78",2024-06-28 05:02:00,24430.35,24433.9,24430.35,24433.9,100,29100
"79",2024-06-28 05:03:00,24434,24434,24433.9,24433.9,50,29500
"80",2024-06-28 05:04:00,24435,24435,24430,24430,200,29500
"81",2024-06-28 05:05:00,24430,24430,24430,24430,25,29500
"82",2024-06-28 05:06:00,24435,24440,24435,24440,225,29725
"83",2024-06-28 05:07:00,24440,24444.7,24437.15,24444.7,150,29725
"84",2024-06-28 05:08:00,24444.7,24444.95,24444.7,24444.95,175,29725
"85",2024-06-28 05:09:00,24444.6,24444.6,24435,24435,125,30125
"86",2024-06-28 05:10:00,24440,24441,24440,24441,50,30125
"87",2024-06-28 05:11:00,24443,24446.05,24443,24446.05,150,30125
"88",2024-06-28 05:12:00,24445.15,24446,24444.85,24444.85,225,30400
"89",2024-06-28 05:13:00,24446,24449.95,24446,24448.85,450,30400
"90",2024-06-28 05:14:00,24448.85,24448.85,24444,24445,100,30400
"91",2024-06-28 05:15:00,24446,24446.95,24444,24444,200,31075
"92",2024-06-28 05:16:00,24440.6,24448.8,24440.6,24448.8,250,31075
"93",2024-06-28 05:17:00,24448.8,24454.05,24447.4,24452.55,1125,31075
"94",2024-06-28 05:18:00,24452.55,24452.7,24440,24440,325,30975
"95",2024-06-28 05:19:00,24440,24440.05,24435.55,24435.55,150,30975
"96",2024-06-28 05:20:00,24439.95,24439.95,24439.4,24439.95,150,30975
"97",2024-06-28 05:21:00,24439.95,24440,24439.95,24440,75,31450
"98",2024-06-28 05:22:00,24435.05,24440.25,24435.05,24440.25,225,31450
"99",2024-06-28 05:23:00,24441,24441,24435.7,24435.7,200,31450
"100",2024-06-28 05:24:00,24436.05,24436.1,24436.05,24436.1,50,31700
"101",2024-06-28 05:25:00,24436.1,24436.1,24436.1,24436.1,0,31700
"102",2024-06-28 05:26:00,24439.95,24440,24438.1,24438.1,150,31700
"103",2024-06-28 05:27:00,24441.1,24442.85,24441.1,24442.85,75,31800
"104",2024-06-28 05:28:00,24445.1,24445.1,24439.2,24439.2,50,31800
"105",2024-06-28 05:29:00,24440.45,24440.45,24440.45,24440.45,25,31800
"106",2024-06-28 05:30:00,24447,24449.85,24444.9,24449.85,275,31800
"107",2024-06-28 05:31:00,24449.9,24456.35,24449.9,24456.35,150,31800
"108",2024-06-28 05:32:00,24456.35,24456.35,24456.35,24456.35,0,31800
"109",2024-06-28 05:33:00,24453.95,24453.95,24453.95,24453.95,25,31925
"110",2024-06-28 05:34:00,24453.7,24453.7,24451.65,24453,575,31925
"111",2024-06-28 05:35:00,24453,24453,24451.65,24451.65,125,31925
"112",2024-06-28 05:36:00,24452.85,24452.85,24447.05,24448,100,32175
"113",2024-06-28 05:37:00,24448,24448,24448,24448,0,32175
"114",2024-06-28 05:38:00,24451,24451,24444,24444,275,32175
"115",2024-06-28 05:39:00,24444,24444,24444,24444,25,32175
"116",2024-06-28 05:40:00,24444.2,24444.2,24444.2,24444.2,25,32325
"117",2024-06-28 05:41:00,24445,24445,24445,24445,25,32325
"118",2024-06-28 05:42:00,24448.7,24450.1,24445.05,24449,175,32325
"119",2024-06-28 05:43:00,24443.6,24446,24443,24445,125,32325
"120",2024-06-28 05:44:00,24448,24450,24448,24449.35,125,32325
"121",2024-06-28 05:45:00,24455,24455,24455,24455,50,32500
"122",2024-06-28 05:46:00,24455,24455,24448.6,24448.6,300,32500
"123",2024-06-28 05:47:00,24440.95,24440.95,24434.05,24435,800,32500
"124",2024-06-28 05:48:00,24431.05,24431.05,24431.05,24431.05,25,33225
"125",2024-06-28 05:49:00,24438.85,24438.85,24437.4,24438.85,75,33225
"126",2024-06-28 05:50:00,24438.8,24438.8,24438.15,24438.15,100,33225
"127",2024-06-28 05:51:00,24435.85,24435.85,24430,24430,200,33275
"128",2024-06-28 05:52:00,24430,24434.6,24430,24434.6,225,33275
"129",2024-06-28 05:53:00,24434.6,24440,24432,24440,275,33275
"130",2024-06-28 05:54:00,24440,24440,24440,24440,0,33275
"131",2024-06-28 05:55:00,24440,24440,24440,24440,50,33850
"132",2024-06-28 05:56:00,24440,24444.5,24440,24444.5,75,33850
"133",2024-06-28 05:57:00,24440.75,24440.75,24440.75,24440.75,25,33850
